id;titulo;descripcion;fecha_vencimiento;estado;creada_en;accion_correctiva_id
1;hidden majority;mild crumble brr;2026-09-21;DESCARTADA;2026-09-22T00:02:22;1
2;jovially;quick jellyfish;2026-09-21;COMPLETADA;2026-09-21T10:46:17;2
3;the sadly t-shirt;athwart minus sushi;2026-09-21;DESCARTADA;2026-09-21T20:33:35;3
4;plus despite;lest unlearn;2026-09-21;DESCARTADA;2026-09-21T23:41:04;4
5;separate typewriter permafrost;not owlishly;2026-09-21;DESCARTADA;2026-09-21T18:11:22;5
6;gnash coil;trim;2026-09-21;PENDIENTE;2026-09-21T23:37:15;6
7;vast;fast generously plus;2026-09-22;EN_CURSO;2026-09-21T07:08:21;7
8;furthermore;gah tomography;2026-09-21;DESCARTADA;2026-09-21T05:04:55;8
9;ice-cream unfreeze meh;against;2026-09-21;PENDIENTE;2026-09-21T03:09:56;9
10;woot ack blah;over;2026-09-22;COMPLETADA;2026-09-21T21:47:37;10
11;apud;among guide uh-huh;2026-09-21;PENDIENTE;2026-09-22T02:17:16;11
12;provided;because;2026-09-22;COMPLETADA;2026-09-21T05:08:41;12
13;unto;soon;2026-09-21;DESCARTADA;2026-09-21T15:50:45;13
14;wicked;in sweatshop;2026-09-21;PENDIENTE;2026-09-21T11:53:16;14
15;low;iridescence during;2026-09-21;PENDIENTE;2026-09-21T15:27:39;15
16;decisive around;corner;2026-09-21;PENDIENTE;2026-09-21T17:17:37;16
17;or;fairly;2026-09-21;COMPLETADA;2026-09-21T12:11:16;17
18;doubter stiffen;labourer parched freight;2026-09-21;COMPLETADA;2026-09-22T00:21:19;18
19;below unto;lender;2026-09-21;PENDIENTE;2026-09-21T04:02:15;19
20;gosh bookcase recent;versus monster oh;2026-09-21;DESCARTADA;2026-09-21T13:40:39;20
21;ah manage;eek ah victoriously;2026-09-21;PENDIENTE;2026-09-21T08:34:25;21
22;muddy;scaly forearm because;2026-09-21;COMPLETADA;2026-09-21T18:36:42;22
23;unique;hm marvelous;2026-09-21;PENDIENTE;2026-09-21T09:55:02;23
24;edge overproduce pace;but puppet;2026-09-21;EN_CURSO;2026-09-22T01:41:12;24
25;alongside loudly;besides foolish;2026-09-21;PENDIENTE;2026-09-21T06:45:28;25
26;know;repossess;2026-09-21;EN_CURSO;2026-09-21T15:33:28;26
27;under as analyse;suspiciously till;2026-09-21;EN_CURSO;2026-09-21T13:02:25;27
28;atop;thorn softly;2026-09-21;EN_CURSO;2026-09-21T06:31:25;28
29;alongside slowly squid;decouple;2026-09-21;COMPLETADA;2026-09-21T05:10:46;29
30;apud following;trusty makeover;2026-09-21;EN_CURSO;2026-09-22T01:45:10;30
