id;comentario_cierre;cerrado_en;asignacion_id;cerrado_por_id
1;drat awful decode;2026-09-21T08:44:35;1;1
2;between throughout concerning;2026-09-21T06:38:19;2;2
3;publication;2026-09-21T11:18:43;3;2
4;yuck but;2026-09-21T21:08:48;4;2
5;worthless meatloaf next;2026-09-21T23:38:40;5;1
6;merge;2026-09-21T04:28:00;6;2
7;hyphenation;2026-09-21T02:35:50;7;2
8;usefully testimonial massage;2026-09-21T19:33:50;8;2
9;word yahoo so;2026-09-21T15:00:57;9;1
10;regarding;2026-09-21T21:37:51;10;1
11;programme;2026-09-21T13:07:50;11;1
12;after ha honestly;2026-09-21T16:33:34;12;2
13;once geez however;2026-09-21T11:12:49;13;1
14;of deplore down;2026-09-21T04:56:13;14;1
15;fluctuate unlucky because;2026-09-21T18:56:03;15;2
16;rapidly repentant which;2026-09-22T00:31:36;16;1
17;arbitrate whose outrageous;2026-09-21T03:54:51;17;2
18;from;2026-09-21T11:36:23;18;2
19;enthusiastically curiously barring;2026-09-21T15:49:40;19;1
20;oh rebuild;2026-09-21T12:48:01;20;2
21;idolized;2026-09-21T08:20:52;21;2
22;till corny second;2026-09-21T08:26:11;22;2
23;as abaft vice;2026-09-21T15:05:22;23;1
24;silent because mantua;2026-09-21T13:31:04;24;1
25;dearest stir-fry;2026-09-21T14:23:48;25;1
26;ouch lounge incinerate;2026-09-21T10:49:26;26;2
27;suitcase how;2026-09-21T11:45:47;27;2
28;mmm severe;2026-09-21T04:13:29;28;2
29;function flint;2026-09-22T02:10:56;29;1
30;yum;2026-09-21T20:32:47;30;2
